date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-26T00:00:00.000+0000,r5d.8xlarge,io,prod,59.3330482643,64.753885,32,7459647.552000000,0.028633923018817700
2023-06-26T00:00:00.000+0000,r5dn.4xlarge,io,prod,2631.7423727114,4427.84416,16,255043823.616,0.037147625876350300
2023-06-26T00:00:00.000+0000,r5dn.8xlarge,io,prod,239.5904236714,198.621386,32,22881183.6672,0.037695843788600100
2023-06-26T00:00:00.000+0000,r5n.2xlarge,cmp,prod,121.4047345391,401.989996,8,11577311.8848,0.03775116786087260
2023-06-26T00:00:00.000+0000,r6a.2xlarge,cmp,prod,117.172091306,389.428609,8,11215543.9392,0.03761026045533800
2023-06-26T00:00:00.000+0000,r6i.2xlarge,cmp,prod,202.0981865923,687.1663540000000,8,19790390.9952,0.03676296602268960
2023-06-26T00:00:00.000+0000,r6id.4xlarge,io,prod,3.1398228988,5.137498,16,295919.8848,0.03819737373620390
2023-06-26T00:00:00.000+0000,r6id.8xlarge,io,prod,54.098995690600000,46.562502,32,5364000.230400000,0.03630804923952000
2023-06-26T00:00:00.000+0000,r6idn.4xlarge,io,prod,474.3003397541,783.8872360000000,16,45151904.79360000,0.037816371887743400
2023-06-26T00:00:00.000+0000,r6idn.8xlarge,io,prod,235.7303087546,194.732221,32,22433151.8592,0.03782924115358010
2023-06-26T00:00:00.000+0000,r6in.2xlarge,cmp,prod,54.620571414,179.92889200000000,8,5181952.0896000000,0.03794594270468800
2023-06-27T00:00:00.000+0000,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-27T00:00:00.000+0000,c5.2xlarge,io,prod,46.986,191,8,5500800,0.03075
2023-06-27T00:00:00.000+0000,m5.4xlarge,cmp,prod,581.8989343824000,1349.757511,16,77746032.6336,0.02694460531059050
2023-06-27T00:00:00.000+0000,m5a.4xlarge,cmp,prod,0.7880855360000000,1.318332,16,75935.9232,0.03736186787546690
2023-06-27T00:00:00.000+0000,m5ad.8xlarge,io,prod,76.34773538350000,62.661398,32,7218593.0496,0.03807554262888250
2023-06-27T00:00:00.000+0000,m5d.8xlarge,io,prod,1738.6411278515,1628.312241,32,187581570.1632,0.033367393474848500
2023-06-27T00:00:00.000+0000,m5dn.8xlarge,io,prod,4.9170606802,4.018336,32,462912.3072,0.038239247851909300
2023-06-27T00:00:00.000+0000,m5n.4xlarge,cmp,prod,36.4253033444,60.272218,16,3471679.7568,0.03777165557479570
2023-06-27T00:00:00.000+0000,m6a.4xlarge,cmp,prod,244.7362297209,410.252214,16,23630527.5264,0.037284416355535500
2023-06-27T00:00:00.000+0000,m6i.4xlarge,cmp,prod,221.4520784802,413.012486,16,23789519.193600000,0.033511710599985300
2023-06-27T00:00:00.000+0000,m6id.8xlarge,io,prod,1.1157609527,0.910834,32,104928.0768,0.03828088298402890
2023-06-27T00:00:00.000+0000,m6idn.8xlarge,io,prod,2.1195698596000000,1.731109,32,199423.7568,0.038262500000000000
2023-06-27T00:00:00.000+0000,m6in.4xlarge,cmp,prod,14.8146818779,24.191109,16,1393407.8784,0.038275120721780500
2023-06-27T00:00:00.000+0000,r5.2xlarge,cmp,prod,1768.508376629,9363.32027,8,269663623.776,0.02360952532905560
2023-06-27T00:00:00.000+0000,r5a.2xlarge,cmp,prod,13.8687311908,45.718057,8,1316680.0416,0.03791918363569130
2023-06-27T00:00:00.000+0000,r5ad.4xlarge,io,prod,1707.3114007195,2904.921402,16,167323472.7552,0.036733166849713200
2023-06-27T00:00:00.000+0000,r5ad.8xlarge,io,prod,455.5950174232,380.668614,32,43853024.3328,0.03740088825519770
2023-06-27T00:00:00.000+0000,r5b.2xlarge,cmp,prod,94.0240700783,308.635546,8,8888703.7248,0.0380805416359511
2023-06-27T00:00:00.000+0000,r5d.4xlarge,io,prod,5029.2992039485,8819.322514,16,507992976.8064,0.03564119576620590
2023-06-27T00:00:00.000+0000,r5d.8xlarge,io,prod,189.9126058144,228.53277,32,26326975.104,0.025969006246675300
2023-06-27T00:00:00.000+0000,r5dn.4xlarge,io,prod,3468.7699575464,5807.213926,16,334495522.1376,0.03733255311570380
2023-06-27T00:00:00.000+0000,r5dn.8xlarge,io,prod,725.3729505693,601.154436,32,69252991.0272,0.03770729008691970
2023-06-27T00:00:00.000+0000,r5n.2xlarge,cmp,prod,136.0805497948,449.755277,8,12952951.9776,0.037820720721304600
2023-06-27T00:00:00.000+0000,r6a.2xlarge,cmp,prod,112.6114219998,373.393358,8,10753728.7104,0.03769865598406010
2023-06-27T00:00:00.000+0000,r6i.2xlarge,cmp,prod,89.89991434090000,306.667787,8,8832032.2656,0.036643852954182300
2023-06-27T00:00:00.000+0000,r6id.4xlarge,io,prod,2.24533925,3.6575,16,210672,0.03836875000000000
2023-06-27T00:00:00.000+0000,r6id.8xlarge,io,prod,4.2592146233,3.49,32,402048,0.03813766675590970
2023-06-27T00:00:00.000+0000,r6idn.4xlarge,io,prod,659.1497097788,1081.89752,16,62317297.152,0.038078335609064900
2023-06-27T00:00:00.000+0000,r6idn.8xlarge,io,prod,384.0829712109,315.063887,32,36295359.782400000,0.03809574294479720
2023-06-27T00:00:00.000+0000,r6in.2xlarge,cmp,prod,91.3816546495,298.915547,8,8608767.7536,0.03821382643301420
2023-06-28T00:00:00.000+0000,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-28T00:00:00.000+0000,c5.2xlarge,io,prod,47.232,192,8,5529600,0.03075
2023-06-28T00:00:00.000+0000,m5.4xlarge,cmp,prod,592.5489230071,1285.9319170000000,16,74069678.41920000,0.028799586664232200
2023-06-28T00:00:00.000+0000,m5a.4xlarge,cmp,prod,14.0446781542,23.529725,16,1355312.16,0.03730567971523250
2023-06-28T00:00:00.000+0000,m5ad.8xlarge,io,prod,343.8742371283,282.337216,32,32525247.283200000,0.03806111734933090
2023-06-28T00:00:00.000+0000,m5d.8xlarge,io,prod,4728.5059415138,4491.694436,32,517443199.0272,0.032897565223492000
2023-06-28T00:00:00.000+0000,m5dn.8xlarge,io,prod,45.3026601582,37.029447,32,4265792.2944,0.03823195442113270
2023-06-28T00:00:00.000+0000,m5n.4xlarge,cmp,prod,58.1918062994,96.554984,16,5561567.0784,0.03766753142139720
2023-06-28T00:00:00.000+0000,m6a.4xlarge,cmp,prod,373.67612574170000,625.4391810000000,16,36025296.825600000,0.037341373179587000
2023-06-28T00:00:00.000+0000,m6i.4xlarge,cmp,prod,103.6020444735,195.653887,16,11269663.8912,0.03309480776936340
2023-06-28T00:00:00.000+0000,m6id.8xlarge,io,prod,26.5404051841,21.697506,32,2499552.6912000000,0.03822502282073920
2023-06-28T00:00:00.000+0000,m6idn.8xlarge,io,prod,6.2272998766,5.076945,32,584864.064,0.03833075228188410
2023-06-28T00:00:00.000+0000,m6in.4xlarge,cmp,prod,17.8177897906,29.118888,16,1677247.9488,0.03824362598985580
2023-06-28T00:00:00.000+0000,r5.2xlarge,cmp,prod,2061.4269855227,10517.479425,8,302903407.44,0.024500012101553300
2023-06-28T00:00:00.000+0000,r5a.2xlarge,cmp,prod,29.4597278364,97.105001,8,2796624.0288,0.037922516262061500
2023-06-28T00:00:00.000+0000,r5ad.4xlarge,io,prod,972.8974063057,1643.324183,16,94655472.9408,0.03700188223549450
2023-06-28T00:00:00.000+0000,r5ad.8xlarge,io,prod,785.979688794,661.143934,32,76163781.1968,0.03715055680267730
2023-06-28T00:00:00.000+0000,r5b.2xlarge,cmp,prod,148.2907649049,487.761914,8,14047543.1232,0.038002855657796400
2023-06-28T00:00:00.000+0000,r5d.4xlarge,io,prod,3247.85174431,5689.523083,16,327716529.5808,0.03567798760249360
2023-06-28T00:00:00.000+0000,r5d.8xlarge,io,prod,662.4890630646,680.447765,32,78387582.528,0.03042523509614110
2023-06-28T00:00:00.000+0000,r5dn.4xlarge,io,prod,2016.2777025584,3381.50249,16,194774543.424,0.03726667562202510
2023-06-28T00:00:00.000+0000,r5dn.8xlarge,io,prod,287.514354914,237.547222,32,27365439.9744,0.03782331578292460
2023-06-28T00:00:00.000+0000,r5n.2xlarge,cmp,prod,156.9916387388,519.267792,8,14954912.409600000,0.03779158874223030
2023-06-28T00:00:00.000+0000,r6a.2xlarge,cmp,prod,134.8016607789,446.11305600000000,8,12848056.0128,0.03777115995762850
