date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-03-06,m6in.4xlarge,cmp,prod,59.7016151851,95.195282,16,5483248.2432,65.536,2,1,1,8,2741624.1216,0.03919680545795060
2023-03-06,r5.2xlarge,cmp,prod,2187.5700524795,10235.594161,8,294785111.83680000,65.536,1,1,1,0,0,0.026715230426176100
2023-03-06,r5a.2xlarge,cmp,prod,121.6707993781,585.794991,8,16870895.7408,65.536,1,1,1,0,0,0.025962751740672500
2023-03-06,r5ad.4xlarge,io,prod,2347.857293407,4888.669144,16,281587342.6944,131.072,2,2,2,0,0,0.030016570259829700
2023-03-06,r5b.2xlarge,cmp,prod,160.54066104610000,426.313043,8,12277815.6384,65.536,1,1,1,0,0,0.04707241066223370
2023-03-06,r5d.4xlarge,io,prod,1253.7299438115,2952.25778,16,170050048.128,131.072,2,2,2,0,0,0.026541761366183500
2023-03-06,r5dn.4xlarge,io,prod,3140.7717455548,7567.445512,16,435884861.4912,131.072,2,2,2,0,0,0.025939827883253000
2023-03-06,r5n.2xlarge,cmp,prod,257.3553813811,1188.769995,8,34236575.856000000,65.536,1,1,1,0,0,0.027061099125939400
2023-03-06,r6a.2xlarge,cmp,prod,19.3354830966,94.200557,8,2712976.0416,65.536,1,1,1,0,0,0.025657336474931900
2023-03-06,r6i.2xlarge,cmp,prod,162.3447042638,769.372801,8,22157936.6688,65.536,1,1,1,0,0,0.026376144317291800
2023-03-06,r6id.4xlarge,io,prod,83.7548270141,133.572217,16,7693759.6992,131.072,2,2,2,0,0,0.03918986152922240
2023-03-06,r6idn.4xlarge,io,prod,276.9341392128,537.192782,16,30942304.2432,131.072,2,2,2,0,0,0.03222006006178990
2023-03-06,r6in.2xlarge,cmp,prod,413.3825945391,2044.904446,8,58893248.0448,65.536,1,1,1,0,0,0.025269065465852800
2023-03-07,c5.2xlarge,cmp,prod,47.232,192,8,5529600,16.384,1,0,0,8,5529600,0.03075
2023-03-07,c5.2xlarge,io,prod,86.645436612,352.217222,8,10143855.9936,16.384,1,0,0,8,10143855.9936,0.03075
2023-03-07,c5ad.16xlarge,io,prod,9.2436618886,8.21111,64,1891839.744,131.072,8,2,2,48,1418879.808,0.017589852895573800
2023-03-07,c5d.18xlarge,io,prod,3526.4380496286,2645.031143,72,685592072.2656000,147.456,9,2,2,56,533238278.4288000,0.018517100025253500
2023-03-07,c6id.16xlarge,io,prod,13.8767723226,10.315555,64,2376703.872,131.072,8,2,2,48,1782527.904,0.02101918583543250
2023-03-07,m5.4xlarge,cmp,prod,8.5225182822,22.557783,16,1299328.3008,65.536,2,1,1,8,649664.1504,0.023613020509927800
2023-03-07,m5a.4xlarge,cmp,prod,5.2662538515,13.793332,16,794495.9232,65.536,2,1,1,8,397247.9616,0.023862317366010600
