relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-08,m6id.8xlarge,io,prod,9.7982320646,8.028885,32,924927.552,0.0381366468717325
2023-06-08,m6idn.8xlarge,io,prod,55.715064039000000,45.714163,32,5266271.5776000000,0.03808657179655130
2023-06-08,m6in.4xlarge,cmp,prod,39.8898133312,66.258059,16,3816464.1984,0.03762732218280040
2023-06-08,r5.2xlarge,cmp,prod,2315.3591568788,12333.524732,8,355205512.2816,0.02346611377515910
2023-06-08,r5a.2xlarge,cmp,prod,30.059941774700000,100.325277,8,2889367.9776,0.03745310089537560
2023-06-08,r5ad.4xlarge,io,prod,2761.2611643361,4769.55747,16,274726510.27200000,0.03618340356658
2023-06-08,r5b.2xlarge,cmp,prod,146.1473811347,488.358613,8,14064728.054400000,0.03740780269977040
2023-06-08,r5d.4xlarge,io,prod,3809.6188710375,6707.070516,16,386327261.7216,0.03550002625913110
2023-06-08,r5dn.4xlarge,io,prod,1836.6148815374,3155.8777840000000,16,181778560.35840000,0.036372900965320600
2023-06-08,r5n.2xlarge,cmp,prod,67.4885205411,225.557785,8,6496064.208,0.037400904019506600
2023-06-08,r6a.2xlarge,cmp,prod,169.9447598957,562.276421,8,16193560.924800000,0.037780518964643700
2023-06-08,r6i.2xlarge,cmp,prod,108.3607230539,368.505552,8,10612959.8976,0.03675681494681390
2023-06-08,r6id.4xlarge,io,prod,22.006753397100000,36.368333,16,2094815.9808,0.03781922276500140
2023-06-08,r6idn.4xlarge,io,prod,557.4669325906,923.833607,16,53212815.7632,0.03771424098767660
2023-06-08,r6in.2xlarge,cmp,prod,159.7571940276,529.596946,8,15252392.0448,0.03770725908500610
2023-06-09,c5.2xlarge,cmp,prod,37.638,153,8,4406400,0.03075
2023-06-09,c5.2xlarge,io,prod,52.152,212,8,6105600,0.03075
2023-06-09,m5.4xlarge,cmp,prod,24.4583443575,58.271115,16,3356416.224,0.026233349444982300
2023-06-09,m5a.4xlarge,cmp,prod,31.0584732063,52.798069,16,3041168.7744,0.036765635792357300
2023-06-09,m5ad.8xlarge,io,prod,146.8320348869,121.036394,32,13943392.5888,0.03791009413429510
2023-06-09,m5d.8xlarge,io,prod,2927.0660992263,2791.239706,32,321550814.13120000,0.0327706772744017
2023-06-09,m5dn.8xlarge,io,prod,80.3127194079,66.164726,32,7622176.4352,0.03793218279928910
2023-06-09,m5n.4xlarge,cmp,prod,11.8241319948,19.74083,16,1137071.808,0.03743552067846190
2023-06-09,m6a.4xlarge,cmp,prod,82.7041786193,144.273906,16,8310176.9856,0.035827761977320100
2023-06-09,m6i.4xlarge,cmp,prod,0.14219125,0.2375,16,13680,0.03741875
2023-06-09,m6id.8xlarge,io,prod,22.345004986200000,18.461665,32,2126783.808,0.0378233169011977
2023-06-09,m6idn.8xlarge,io,prod,19.210113702300000,15.826109000000000,32,1823167.7568000000,0.03793200547253120
2023-06-09,m6in.4xlarge,cmp,prod,10.3536999743,17.248335,16,993504.096,0.037517026912670100
2023-06-09,r5.2xlarge,cmp,prod,2237.0768612582,11909.608599,8,342996727.6512,0.023479747913861300
2023-06-09,r5a.2xlarge,cmp,prod,42.88167178610000,142.268601,8,4097335.7088000000,0.03767668294750790
2023-06-09,r5ad.4xlarge,io,prod,2362.1998638284,4080.7102770000000,16,235048911.9552,0.03617936130418280
2023-06-09,r5b.2xlarge,cmp,prod,53.8228746966,177.630564,8,5115760.243200000,0.03787557268058330
2023-06-09,r5d.4xlarge,io,prod,3406.8661125748,5980.224787,16,344460947.7312,0.03560553986177860
2023-06-09,r5dn.4xlarge,io,prod,1982.1303822813,3409.520073,16,196388356.2048,0.03633448293019660
2023-06-09,r5n.2xlarge,cmp,prod,89.27089397130000,299.133898,8,8615056.2624,0.03730390243640160
2023-06-09,r6a.2xlarge,cmp,prod,83.8678717057,277.775285,8,7999928.208,0.037740880954230700
2023-06-09,r6i.2xlarge,cmp,prod,97.5992775574,333.619148,8,9608231.4624,0.03656837375136210
2023-06-09,r6id.4xlarge,io,prod,43.469107803200000,72.031107,16,4148991.7632000000,0.03771730507626380
2023-06-09,r6idn.4xlarge,io,prod,582.5196203684,968.699482,16,55797090.1632,0.03758387090066080
2023-06-09,r6in.2xlarge,cmp,prod,97.4979595572,324.16303900000000,8,9335895.5232,0.03759603495280040
2023-06-10,c5.2xlarge,cmp,prod,59.04,240,8,6912000,0.03075
2023-06-10,c5.2xlarge,io,prod,82.656,336,8,9676800,0.030750000000000000
