date,instance_type,stack_type1,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-11-04 00:00:00,r5b.2xlarge,cmp,prod,8.3492020471,18.123889,8,521968.0032,65.536,1,1,1,0,0.0,0.05758423348805000
2023-11-04 00:00:00,r5d.4xlarge,io,prod,2188.1616545045,3302.899755,16,190247025.88800000,131.072,2,2,2,0,0.0,0.041406071498083100
2023-11-04 00:00:00,r5d.8xlarge,io,prod,3427.6465767394,3317.968962,32,382230024.4224,262.144,4,5,4,0,0.0,0.032282989006184200
2023-11-04 00:00:00,r5dn.4xlarge,io,prod,1509.2861245803000,1927.8885960000000,16,111046383.12960000,131.072,2,2,2,0,0.0,0.04892937433313640
2023-11-04 00:00:00,r5dn.8xlarge,io,prod,104.6079125465,65.809999,32,7581311.8848,262.144,4,5,4,0,0.0,0.04967326115714000
2023-11-04 00:00:00,r5n.2xlarge,cmp,prod,83.2233218087,247.82778200000000,8,7137440.121600000,65.536,1,1,1,0,0.0,0.04197638836991850
2023-11-04 00:00:00,r6a.2xlarge,cmp,prod,456.3070770272000,1987.1072540000000,8,57228688.915200000,65.536,1,1,1,0,0.0,0.02870423049062050
2023-11-04 00:00:00,r6i.2xlarge,cmp,prod,166.747538295,744.599983,8,21444479.510400000,65.536,1,1,1,0,0.0,0.027992805214548300
2023-11-04 00:00:00,r6id.4xlarge,io,prod,467.3192576673,683.733599,16,39383055.3024,131.072,2,2,2,0,0.0,0.04271759300248500
2023-11-04 00:00:00,r6id.8xlarge,io,prod,337.0031987324,336.83777800000000,32,38803712.025600000,262.144,4,5,4,0,0.0,0.03126534684713280
2023-11-04 00:00:00,r6idn.4xlarge,io,prod,763.6178134932000,855.0052840000000,16,49248304.35840000,131.072,2,2,2,0,0.0,0.05581967063413490
2023-11-04 00:00:00,r6idn.8xlarge,io,prod,89.0502984086,51.414449,32,5922944.5248,262.144,4,5,4,0,0.0,0.05412528733447580
2023-11-04 00:00:00,r6in.2xlarge,cmp,prod,15.6193386997,31.791105,8,915583.824,65.536,1,1,1,0,0.0,0.06141395014305100
2023-11-05 00:00:00,c5.2xlarge,cmp,prod,188.9280000000000,768.0,8,22118400.0,16.384,1,0,0,8,22118400.0,0.030750000000000000
2023-11-05 00:00:00,c5.2xlarge,io,prod,265.6800000000000,1080.0,8,31104000.0,16.384,1,0,0,8,31104000.0,0.03075000000000000
2023-11-05 00:00:00,m5.4xlarge,cmp,prod,235.9155594712,620.131357,16,35719566.1632,65.536,2,1,1,8,17859783.0816,0.023776772937721300
2023-11-05 00:00:00,m5a.4xlarge,cmp,prod,26.7865916992,73.95862400000000,16,4260016.742400000,65.536,2,1,1,8,2130008.3712000000,0.022636467401016000
2023-11-05 00:00:00,m5ad.8xlarge,io,prod,216.7012283819,285.4847150000000,32,32887839.168000000,131.072,4,2,2,16,16443919.584000000,0.023720756422754100
2023-11-05 00:00:00,m5d.8xlarge,io,prod,582.6145872189,640.389707,32,73772894.2464,131.072,4,2,2,16,36886447.1232,0.028430665970386400
2023-11-05 00:00:00,m5dn.8xlarge,io,prod,73.67897749470000,60.784997000000000,32,7002431.6544,131.072,4,2,2,16,3501215.8272,0.0378788872311596
2023-11-05 00:00:00,m5n.4xlarge,cmp,prod,2.0893712652000000,2.820556,16,162464.0256,65.536,2,1,1,8,81232.0128,0.04629785903027630
2023-11-05 00:00:00,m6a.4xlarge,cmp,prod,308.1645002842,772.881687,16,44517985.1712,65.536,2,1,1,8,22258992.5856,0.024920090088462000
2023-11-05 00:00:00,m6i.4xlarge,cmp,prod,74.28053134370000,200.431375,16,11544847.2,65.536,2,1,1,8,5772423.6,0.023162706981286000
2023-11-05 00:00:00,m6id.8xlarge,io,prod,314.830809538,349.765849,32,40293025.804800000,131.072,4,2,2,16,20146512.902400000,0.028128711897377100
2023-11-05 00:00:00,m6idn.8xlarge,io,prod,0.4229251439,0.410277,32,47263.9104,131.072,4,2,2,16,23631.9552,0.03221338448627390
2023-11-05 00:00:00,m6in.4xlarge,cmp,prod,2.6230205215,4.678333,16,269471.9808,65.536,2,1,1,8,134735.9904,0.03504213628951810
2023-11-05 00:00:00,r5.2xlarge,cmp,prod,1526.064766177,5557.312463,8,160050598.9344,65.536,1,1,1,0,0.0,0.034325601995959800
2023-11-05 00:00:00,r5a.2xlarge,cmp,prod,43.0717011615,195.835292,8,5640056.4096,65.536,1,1,1,0,0.0,0.027492300239670300
2023-11-05 00:00:00,r5ad.4xlarge,io,prod,477.941960555,637.4333370000000,16,36716160.2112,131.072,2,2,2,0,0.0,0.04686195528347070
2023-11-05 00:00:00,r5ad.8xlarge,io,prod,233.40983254540000,181.942222,32,20959743.9744,262.144,4,5,4,0,0.0,0.04008996475289690
2023-11-05 00:00:00,r5b.2xlarge,cmp,prod,1.8567708557000000,3.895557,8,112192.04160000000,65.536,1,1,1,0,0.0,0.05957976149816320
